Fish_TAG,Faunistic_grp,Class,ScientificName_accepted,N_tot_in_tractus
06-17/C1-sole-G0/10,Annelida,Polychaeta sedentaria,Polydora ciliata,5
06-17/C1-sole-G0/10,Arthropoda,Malacostraca,Corophium volutator,1
06-17/C1-Sole-G0/12,Annelida,Annelida sp.,Annelida sp.,1
06-17/C1-Sole-G0/12,Arthropoda,Malacostraca,Corophium volutator,1
06-17/C1-Sole-G0/12,Arthropoda,Hexanauplia,Harpacticoida,107
06-17/C1-Sole-G0/15,Arthropoda,Hexanauplia,Harpacticoida,20
06-17/C1-Sole-G0/15,Arthropoda,Malacostraca,Amphipoda,1
06-17/C1-Sole-G0/15,Annelida,Annelida sp.,Annelida sp.,1
06-17/C1-Sole-G0/15,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C1-Sole-G0/16,Annelida,Polychaeta errantia,Hediste diversicolor,1
06-17/C1-Sole-G0/16,Annelida,Polychaeta sedentaria,Polydora ciliata,2
06-17/C1-Sole-G0/16,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/C1-Sole-G0/17,Arthropoda,Hexanauplia,Harpacticoida,144
06-17/C1-Sole-G0/17,Arthropoda,Malacostraca,Corophium volutator,5
06-17/C1-Sole-G0/17,Annelida,Annelida sp.,Annelida sp.,1
06-17/C1-Sole-G0/18,Arthropoda,Hexanauplia,Harpacticoida,129
06-17/C1-Sole-G0/18,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C1-Sole-G0/19,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/C1-Sole-G0/19,Annelida,Polychaeta sedentaria,Polydora ciliata,5
06-17/C1-Sole-G0/19,Arthropoda,Malacostraca,Corophium volutator,4
06-17/C1-Sole-G0/20,Arthropoda,Hexanauplia,Harpacticoida,66
06-17/C1-Sole-G0/20,Arthropoda,Malacostraca,Corophium volutator,1
06-17/C1-Sole-G0/20,Annelida,Polychaeta sedentaria,Polydora ciliata,3
06-17/C1-Sole-G0/21,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C1-Sole-G0/22,Arthropoda,Hexanauplia,Harpacticoida,16
06-17/C1-Sole-G0/22,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/C1-Sole-G0/6,Arthropoda,Malacostraca,Corophium volutator,10
06-17/C1-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,2
06-17/C1-Sole-G0/6,Arthropoda,Hexanauplia,Harpacticoida,4
06-17/C1-Sole-G0/6,Mollusca,Bivalvia,Bivalvia_larve,2
06-17/C2-Sole-G0/3,Annelida,Annelida sp.,Annelida sp.,1
06-17/C2-Sole-G0/3,Arthropoda,Malacostraca,Corophium volutator,3
06-17/C2-Sole-G0/3,Arthropoda,Hexanauplia,Harpacticoida,86
06-17/C2-Sole-G0/3,Annelida,Polychaeta errantia,Polynoidae,1
06-17/C3-Sole-G0/1,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/C3-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,3
06-17/C6-Sole-G0/1,Mollusca,Bivalvia,Cardiidae,1
06-17/C6-Sole-G0/1,Mollusca,Bivalvia,Bivalvia,4
06-17/C6-Sole-G0/1,Mollusca,Bivalvia,Phaxas pellucidus,1
06-17/C6-Sole-G0/1,Annelida,Polychaeta errantia,Polynoidae,1
06-17/C7-Sole-G0/13,Arthropoda,Malacostraca,Amphipoda,1
06-17/C7-Sole-G0/13,Annelida,Annelida sp.,Annelida sp.,1
06-17/C7-Sole-G0/13,Mollusca,Bivalvia,Bivalvia,1
