Fish_TAG,Faunistic_grp,Class,ScientificName_accepted,N_tot_in_tractus
06-17/C1-Sole-G0/5,Arthropoda,Arachnida,Halacaridae,2
06-17/C1-Sole-G0/8,Annelida,Annelida sp.,Annelida sp.,1
06-17/C1-Sole-G0/8,Annelida,Polychaeta sedentaria,Boccardiella ligerica,1
06-17/C1-Sole-G0/9,Annelida,Annelida sp.,Annelida sp.,1
06-17/C1-Sole-G0/9,Annelida,Polychaeta sedentaria,Polydora ciliata,5
06-17/C1-Sole-G0/9,Arthropoda,Hexanauplia,Harpacticoida,3
06-17/C1-Sole-G0/11,Annelida,Polychaeta sedentaria,Boccardiella ligerica,2
06-17/C1-Sole-G0/11,Arthropoda,Malacostraca,Corophium volutator,5
06-17/C1-Sole-G0/11,Arthropoda,Hexanauplia,Harpacticoida,6
06-17/C1-Sole-G0/11,Arthropoda,Malacostraca,Arthropoda,1
06-17/C1-Sole-G0/13,Arthropoda,Hexanauplia,Harpacticoida,2
06-17/C1-Sole-G0/13,Annelida,Polychaeta sedentaria,Polydora ciliata,6
06-17/FS0-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FS3-Sole-G0/14,Annelida,Polychaeta sedentaria,Polydora ciliata,3
10-17/CC3-FN5-Sole-G0/16,Arthropoda,Malacostraca,Crangon crangon,3
10-17/CC3-FN5-Sole-G0/16,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/FN5-Sole-G0/2,Arthropoda,Malacostraca,Crangon crangon,1
10-17/FN5-Sole-G0/2,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/CC3-FN5-Sole-G0/15,Arthropoda,Malacostraca,Crangon crangon,2
10-17/CC3-FN5-Sole-G0/15,Annelida,Polychaeta sedentaria,Polydora ciliata,14
4-10-17/FN5-Sole-G0/4,Annelida,Polychaeta errantia,Nephtys sp,1
4-10-17/FN5-Sole-G0/4,Arthropoda,Hexanauplia,Harpacticoida,2
4-10-17/FN5-Sole-G0/4,Arthropoda,Malacostraca,Crangon crangon,1
10-17/FN5-Sole-G0/1,Annelida,Polychaeta sedentaria,Spionidae,1
10-17/FN5-Sole-G0/1,Arthropoda,Malacostraca,Crangon crangon,1
10-17/CC3-FN5-Sole-G0/7,Arthropoda,Malacostraca,Corophium volutator,1
10-17/CC3-FN5-Sole-G0/7,Annelida,Annelida sp.,Annelida sp.,1
10-17/CC3-FN5-Sole-G0/14,Annelida,Polychaeta errantia,Nephtys sp,1
4-10-17/FN5-Sole-G0/3,Annelida,Annelida sp.,Annelida sp.,1
4-10-17/FN5-Sole-G0/3,Annelida,Polychaeta errantia,Nephtys kersivalensis,1
10-17/CC3-FN5-Sole-G0/8,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/CC3-FN5-Sole-G0/8,Arthropoda,Malacostraca,Arthropoda,1
10-17/CC3-FN5-Sole-G0/13,Annelida,Polychaeta sedentaria,Polydora ciliata,4
10-17/CC3-FN5-Sole-G0/13,Annelida,Polychaeta errantia,Hediste diversicolor,1
10-17/CC3-FN5-Sole-G0/13,Arthropoda,Hexanauplia,Harpacticoida,4
10-17/CC3-FN5-Sole-G0/13,Arthropoda,Malacostraca,Corophiidae,1
4-10-17/FN5-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,3
4-10-17/FN5-Sole-G0/1,Annelida,Polychaeta errantia,Nephtys sp,1
