species,labels,grp,alim,d13C,d15N,source
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.77,12.44,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-19.02,14.4,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-19.07,14.58,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.56,14.32,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.54,14.36,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.73,14.03,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.75,12.5,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18,12.48,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-19.64,11.88,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.2,11.77,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-16.89,12.43,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.11,11.04,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.04,10.63,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-17.49,10.51,NA
Solea_solea,S. solea,Actinopterygii,Omnivore,-18.17,11.58,NA
